2002-1,1 14
2002-2,11
2002-3,21
2002-4,29
2002-5,3 4 5 6
2002-7,20
2002-9,15 16 23
2002-10,14
2002-11,3 4 23
2002-12,23
2003-1,1 13
2003-2,11
2003-3,21
2003-4,29
2003-5,3 4 5
2003-7,21
2003-9,15 23
2003-10,13
2003-11,3 23 24
2003-12,23
2004-1,1 12
2004-2,11
2004-3,20
2004-4,29
2004-5,3 4 5
2004-7,19
2004-9,20 23
2004-10,11
2004-11,3 23
2004-12,23
2005-1,1 10
2005-2,11
2005-3,20 21
2005-4,29
2005-5,3 4 5
2005-7,18
2005-9,19 23
2005-10,10
2005-11,3 23
2005-12,23
2006-1,2 9
2006-2,11
2006-3,21
2006-4,29
2006-5,3 4 5
2006-7,17
2006-9,23
2006-10,9
2006-11,3 23
2006-12,23
2007-1,1 8
2007-2,12
2007-3,21
2007-4,30
2007-5,3 4 5
2007-7,16
2007-9,17 24
2007-10,8
2007-11,3 23
2007-12,24
2008-1,1 14
2008-2,11
2008-3,20
2008-4,29
2008-5,3 4 5 6
2008-7,21
2008-9,15 23
2008-10,13
2008-11,3 24
2008-12,23
2009-1,1 12
2009-2,11
2009-3,20
2009-4,29
2009-5,3 4 5 6
2009-7,20
2009-9,21 22 23
2009-10,12
2009-11,3 23
2009-12,23
2010-1,1 11
2010-2,11
2010-3,22
2010-4,29
2010-5,3 4 5
2010-7,19
2010-9,20 23
2010-10,11
2010-11,3 23
2010-12,23
2011-1,1 10
2011-2,11
2011-3,21
2011-4,29
2011-5,3 4 5
2011-7,18
2011-9,19 23
2011-10,10
2011-11,3 23
2011-12,23
2012-1,2 9
2012-2,11
2012-3,20
2012-4,30
2012-5,3 4 5
2012-7,16
2012-9,17 22
2012-10,8
2012-11,3 23
2012-12,24
2013-1,1 14
2013-2,11
2013-3,20
2013-4,29
2013-5,3 4 5 6
2013-7,15
2013-9,16 23
2013-10,14
2013-11,4 23
2013-12,23
2014-1,1 13
2014-2,11
2014-3,21
2014-4,29
2014-5,3 4 5 6
2014-7,21
2014-9,15 23
2014-10,13
2014-11,3 24
2014-12,23
2015-1,1 12
2015-2,11
2015-3,21
2015-4,29
2015-5,3 4 5 6
2015-7,20
2015-9,21 22 23
2015-10,12
2015-11,3 23
2015-12,23
2016-1,1 11
2016-2,11
2016-3,21
2016-4,29
2016-5,3 4 5
2016-7,18
2016-9,19 22
2016-10,10
2016-11,3 23
2016-12,23
2017-1,2 9
2017-2,11
2017-3,20
2017-4,29
2017-5,3 4 5
2017-7,17
2017-8,11
2017-9,18 23
2017-10,9
2017-11,3 23
2017-12,23
2018-1,1 8
2018-2,12
2018-3,21
2018-4,30
2018-5,3 4 5
2018-7,16
2018-8,11
2018-9,17 24
2018-10,8
2018-11,3 23
2018-12,24
2019-1,1 14
2019-2,11
2019-3,21
2019-4,29
2019-5,3 4 5 6
2019-7,15
2019-8,12
2019-9,16 23
2019-10,14
2019-11,4 23
2019-12,23
2020-1,1 13
2020-2,11
2020-3,20
2020-4,29
2020-5,3 4 5 6
2020-7,20
2020-8,11
2020-9,21 22
2020-10,12
2020-11,3 23
2020-12,23
